name,address,tags,rate,ID,representative_menu,place_price,menu_list,iamge_URL
부암닭구이,서울 중구 을지로3길 21 부암닭구이,한식,5.0,31371102,모둠구이,40000,"{'사이소금': 13000, '사이간장': 14000, '사이양념': 14000, '무뼈닭발': 15000, '더덕구이': 15000, '안창살': 15000, '된장찌개': 8000, '비빔막국수': 8000}",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230918_71%2F1695010295471iKABj_JPEG%2FKakaoTalk_20230913_234627266_09.jpg
해빈 칼국수,서울 중구 퇴계로74길 9 1층,한식,5.0,1815073825,얼큰 칼국수,9000,"{'얼큰 칼제비': 9000, '바지락 칼국수': 9000, '바지락 칼제비': 9000, '왕만두 (고기,김치,반반)': 6000, '국내산 삼겹 수육': 15000, '콩국수': 9000, '주류 (소주,맥주,막걸리)': 5000, '음료수 (콜라,제로콜라,사이다,환타)': 2000}",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230520_170%2F16845779247566AmHh_PNG%2F49444236.png
골뱅이신사,서울 중구 다산로 143-1,한식,5.0,1697686096,생골뱅이탕 2인,39000,"{'생골뱅이탕 3인': 49000, '생골뱅이탕 4인': 59000, '피문어통숙회 중': 49000, '피문어통숙회 대': 69000, '골뱅이 한판': 49000}",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210803_233%2F1627975436159sGKzo_JPEG%2FeUV4ocbnJ4yEwdlJRds47wHQ.jpg
우래옥,서울 중구 창경궁로 62-29,한식,5.0,11679381,불고기,37000,"{'평양냉면': 16000, '비빔냉면': 16000, '온면': 16000, '김치말이냉면': 16000, '장국밥': 15000, '육개장': 16000, '갈비탕': 18000, '갈비': 53000, '대긴갈비': 57000, '육회': 58000, '소금구이': 62000, '혀밑구이': 35000, '혀밑소금구이': 35000, '염통구이': 35000}",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_131%2F1441017839808DchkO_JPEG%2F11679381_0.jpg
을지오뎅,서울 중구 수표로 54,한식,5.0,19885759,도루묵구이,15000,"{'도루묵조림(대)': 28000, '도루묵조림(중)': 23000, '시사모구이': 14000, '삶은오징어': 14000, '황태양념구이': 14000, '오뎅 1꼬치': 1500}",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_49%2F1441021542415fnXVX_JPEG%2FSUBMIT_1371793920870_19885759.jpg
평양면옥,서울 중구 장충단로 207,한식,5.0,13578191,비빔냉면곱배기,22000,"{'냉면': 15000, '비빔냉면': 15000, '제육(돼지고기)': 34000, '불고기(1인분)': 37000, '어복쟁반 대': 100000, '쟁반추가고기': 60000, '온면': 15000, '냉면곱배기': 22000, '만두국': 15000, '접시만두': 15000, '추가만두': 8000, '편육': 35000, '편육 반': 19000}",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160225_173%2F14563784706329Bj12_JPEG%2F176175546449505_0.jpg
목멱산방,서울 중구 퇴계로20길 71 1층 목멱산방,한식,5.0,13573290,육회비빔밥,14000,"{'치즈김치전': 13000, '산방비빔밥': 9000, '곤드레간장비빔밥': 9000, '두부된장비빔밥': 10000, '불고기비빔밥': 12000, '닭가슴살 수란간장비빔밥': 12000, '산방육개장': 10000, '해산물부추전': 11000, '도토리묵 야채무침': 10000, '닭가슴살 야채무침': 12000, '검은깨두부와 보쌈': 14000, '막걸리 한잔(인생은비빔밥7.6%)': 3000, '소주 한 잔(서울의 밤25%)': 4500, '청주 한 잔(한산소곡주 16%)': 5000}",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190208_292%2F1549607629901nLwo5_JPEG%2FOy8UmpFqERqgcAnWA5zOIdVE.jpg
갯벌의조개 충무로역점,서울 중구 퇴계로31길 14 1층,한식,5.0,1125939997,대왕조개전골 小 (2인),49000,"{'대왕조개전골 中 (3인)': 69000, '대왕조개전골 大 (4인)': 89000, '[점심특선] 조개칼국수': 10000, '[점심특선]샤브등심조개칼국수': 14000, '[점심특선]전복조개칼국수': 14000, '[점심특선]낙지조개칼국수': 17000, '[점심특선]미나리꼬막비빔밥': 10000, '미나리꼬막무침': 22000, '소고기등심 샤브추가': 9900, '문어추가': 20000, '가리비추가': 20000, '날치알주먹밥': 4000, '치즈폭탄계란찜': 8000, '연태하이볼': 8000}",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230816_91%2F16921495606131pgBC_JPEG%2FKakaoTalk_20230808_212333763_15.jpg
주공 본점,서울 중구 청구로 69 1층,한식,5.0,1239869930,고급 국산 암퇘지 목살,12000,"{'고급 국산 암퇘지 삼겹살': 12000, '미나리바가지': 5000, '국산대패': 12000, '태백고냉지 국산김치': 0, '볶음밥': 4000, '주공물쫄면': 6000, '주공비쫄면': 6000, '비빔면': 4000, '짜짜라짜~짜~파게티': 4000, '고추장찌개': 7000, '된장찌개': 5000}",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230629_183%2F1688031608806gUJn1_JPEG%2FKakaoTalk_20230629_183826413_03.jpg
신동궁감자탕 명동직영점,서울 중구 명동9길 43,한식,5.0,275980821,뼈해장국,10000,"{'묵은지김치찜': 10000, '낙지뚝배기': 11000, '감자탕 중': 39000, '뼈찜 소': 36000, '뼈숯불구이 중': 42000, '뚝배기 불고기': 10000, '뼈숯불구이 대': 48000, '뼈숯불구이 소': 36000, '감자탕 대': 45000, '감자탕 소': 33000, '뼈찜 대': 48000, '뼈찜 중': 42000, '감자탕 뼈추가': 20000, '숯불,뼈짐 뼈추가': 22000}",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190821_223%2F1566382419106DhpCK_JPEG%2F4NsxWXQTat0WCSWymum-Okxh.jpg
