name,address,tags,rate,ID,iamge_URL
제로백pc방 신당점,서울 중구 다산로36길 53 (신당동) 지하1층,"중구, 게임/오락",5.0,1414069258,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201203_66%2F1606971646864IoCw3_JPEG%2F40WhXXAfzgU86vglDIP6O8-u.JPG.jpg
플렉스PC방,서울 중구 다산로 112 지하1층,"중구, 게임/오락",5.0,1403567124,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201223_59%2F1608718264558ezuqo_JPEG%2FtUpBlC4uYPp3OY9B7jDM57yB.jpg
골든싱어 코인노래연습장 동국대점,서울 중구 서애로1길 10 B1층,"중구, 게임/오락",5.0,1300483792,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220712_154%2F1657605711701AuGi2_JPEG%2F20220707_124124.jpg
게임스쿨,서울 중구 을지로 157 대림상가 다 271,"중구, 게임/오락",5.0,1238535126,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220814_161%2F1660478594240DdyDL_JPEG%2F7.jpg
에이원테크,서울 중구 청계천로 160 2층 바213호,"중구, 게임/오락",5.0,1465620162,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201208_105%2F16074054175914NPqh_JPEG%2FsRLNrc5QJimWocuqwh5R7gfT.jpeg.jpg
게임토피아,서울 중구 을지로 157 대림상가,"중구, 게임/오락",5.0,18064222,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210825_260%2F1629859232780i9rOt_JPEG%2FKzYs-OXqdLE5wOCOLqyHHDPd.jpg
파르텀,서울 중구 퇴계로48길 27 2층,"중구, 게임/오락",5.0,1336098861,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230317_139%2F1678992047089hc8Ni_PNG%2FC32EBFFE-7D33-4F62-9F4A-9E9AE13B96AF.png
라이엇PC방,서울 종로구 종로 33 그랑서울 타워 3층,"중구, 게임/오락",5.0,1716866957,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181013_131%2F1539402573511CWuPr_JPEG%2FlHwYfU7Gz-adEIN1_dSjIDlU.jpg
피씨나인,서울 용산구 청파로47나길 13 지하1층,"중구, 게임/오락",5.0,1970480747,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200927_67%2F1601211536124fe7fW_JPEG%2FYaRM-9zZcuu35tjS10cW64-n.jpg
세븐틴코인노래연습장 종로3가점,서울 종로구 돈화문로11길 38 경한빌딩 2층,"중구, 게임/오락",5.0,1353484853,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221224_116%2F167188169605707mOq_JPEG%2F20221130_155641.jpg
아이온PC카페종각점,"서울 종로구 삼일대로17길 19 2층(관철동, 원산빌딩)","중구, 게임/오락",5.0,1465471377,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230316_267%2F1678928875454CiwEQ_JPEG%2F550BDD7D-B859-4EE6-8477-ABF0647AF6F8.jpeg
오셀롯PC 종로관철점,서울 종로구 종로14길 19 예지빌딩 4층,"중구, 게임/오락",5.0,1807174253,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190605_278%2F1559709114587lE81t_JPEG%2Faw58OgtS2KXvypVKzCcluueZ.jpg
JOYKING동전노래연습장 숙명여대점,서울 용산구 청파로47길 49 캠퍼스프라자,"중구, 게임/오락",5.0,761631637,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181109_88%2F1541737456577YoRWg_JPEG%2FIrl4_9AuL67ybscjDWKvDo02.jpg
제노pc방,서울 용산구 한강대로77길 11,"중구, 게임/오락",5.0,533233979,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190425_210%2F1556192191547nxgw4_JPEG%2FLaRNCchzilZIi0vZAfMWOPux.jpg
고래고래코인노래연습장,서울 종로구 우정국로2길 42 덕산빌딩 지하1층,"중구, 게임/오락",5.0,1079072185,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20171116_31%2F1510813435008lbMNF_JPEG%2FQsDjuaYx3ZHnu3LHX-E3wl46.jpg
쓰리팝PC방,서울 용산구 효창원로37길 29 진로마트,"중구, 게임/오락",5.0,35438842,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190415_241%2F1555316266402E1OAN_JPEG%2FM-N96TrXM0fwftfTjqtmC4u7.jpeg.jpg
코니코인노래연습장,서울 용산구 이태원로 203 2층,"중구, 게임/오락",5.0,1159238671,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200227_134%2F1582771145925Bafar_JPEG%2F0zBxGaIyBWLbFKeKqmvKWjgI.jpg
제노PC존,서울 용산구 한강대로 297,"중구, 게임/오락",5.0,1749744556,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191224_96%2F1577142802541VBHVT_JPEG%2Ftl_SBipp5Cu87qip1hByi_EO.jpg
