name,address,tags,rate,ID,representative_menu,place_price,menu_list,iamge_URL
GDR 골프존아카데미 실로암점,서울 중구 중림로 49 실로암빌딩 지하 1층,"중구, 놀거리, 실내",5.0,1329858182,,,,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231103_227%2F1698998015720CQQQx_PNG%2FKakaoTalk_20231103_153734792.png
강지만골프아카데미 동대문점,서울 중구 청계천로 400 롯데캐슬베네치아 B1,"중구, 놀거리, 실내",5.0,1094260258,,,,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210601_60%2F1622476501670wrzGy_JPEG%2FnZ2MtelFm8V1Pw201ApoZJnS.JPG.jpg
프로맘킨더 신세계백화점 본점,서울 중구 소공로 63 신세계백화점 본점 신관 13층 프로맘킨더,"중구, 놀거리, 실내",5.0,1955392708,,,,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200624_106%2F1592985476884scUMH_JPEG%2FFW9deQkwFVNT-4RWbUczZKaF.jpg
키즈카페 몽슈슈,서울 중구 동호로 201 제성빌딩 5층,"중구, 놀거리, 실내",5.0,1538492151,,,,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200423_5%2F1587618078329QIGOw_JPEG%2F12.jpg
옥이네먹거리,서울 중구 퇴계로85길 11 1층옥이네먹거리,"중구, 놀거리, 실내",5.0,38286550,,,,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230407_256%2F1680845552522m6V1f_JPEG%2F1680845540626.jpg
종합포장마차,서울 중구 북창동 18-1,"중구, 놀거리, 실내",5.0,32779616,,,,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_286%2F1441037961527Kwe7Y_JPEG%2FSUBMIT_1373005820255_32779616.jpg
데굴데굴키즈파티룸 신당점,서울 중구 다산로36길 81 2층,"중구, 놀거리, 실내",5.0,1714417110,,,,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fnaverbooking-phinf.pstatic.net%2F20230314_5%2F16787618324664laq7_JPEG%2FKakaoTalk_20230314_113623440_09.jpg
안주마을,서울 종로구 자하문로1길 3,"중구, 놀거리, 실내",5.0,20597120,,,,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220825_182%2F1661423725161g48hc_JPEG%2F20220821_065957.jpg
해물점1978,서울 종로구 청계천로 63-1 1층,"중구, 놀거리, 실내",5.0,1622164906,,,,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200629_248%2F1593401456340sW9k5_JPEG%2FK8UplIxf_LBcS0brApDwm1hz.jpg
PEAKERS 클라이밍 종로,서울 종로구 돈화문로5가길 1 지하 4층,"중구, 놀거리, 실내",5.0,1728695677,,,,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220107_161%2F1641527724261UnAmA_JPEG%2F1641527716061.jpg
더가루 왕십리점,서울 성동구 청계천로 450 한승빌딩 8층,"중구, 놀거리, 실내",5.0,1707607651,,,,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200210_196%2F1581343807649ChyGr_JPEG%2Fimage.jpg
헬로방방 마포아현점,서울 마포구 마포대로 195 마포 래미안 푸르지오 207동,"중구, 놀거리, 실내",5.0,1599580650,,,,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180419_196%2F1524104910853ueMSo_JPEG%2FpSBtblg8GI0cckidiGlWhlx9.JPG.jpg
먹거리장터2,서울 성동구 행당로17길 16,"중구, 놀거리, 실내",5.0,17900252,,,,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190621_193%2F1561050892672nuAyK_JPEG%2Fs93_OZ5MBJ8F28kJ23iUamOs.jpg
GDR아카데미 서대문 충정로점,서울 서대문구 서소문로 37 충정로대우디오빌 지하1층,"중구, 놀거리, 실내",5.0,1098689738,,,,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231102_221%2F1698927251540RGbsQ_JPEG%2F%25BD%25BA%25B8%25B6%25C6%25AE_%25C7%25C3%25B7%25B9%25C0%25CC%25BD%25BA_%25B5%25EE%25B7%25CF%25BF%25EB_%25281102%2529_%25282%2529.jpg
쁘띠몽드 경희궁자이점,서울 종로구 송월길 147 경희궁동아아파트 상가 2층,"중구, 놀거리, 실내",5.0,1214031199,,,,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220703_150%2F1656777039485PaEsq_JPEG%2FScreenshot_20220625-001543_Instagram.jpg
카페드앙팡 아현점,서울 마포구 마포대로24길 51 3층 카페드앙팡,"중구, 놀거리, 실내",5.0,1870566303,,,,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230419_155%2F1681893735559IBt1O_JPEG%2F%25B0%25A1%25B0%25D4%25BB%25E7%25C1%25F89.jpg
